plugin,timestamp,processing_latency_ms,e2e_latency_ms,t_start,t_end
Recorder,783316.369585,0.004393979907035828,1787643586295.4717,783316.43819235,783316.438196744
Recorder,783316.403095,0.026882044039666653,1787643586297.7908,783316.473998826,783316.474025708
Recorder,783316.436605,0.004524015821516514,1787643586296.189,783316.505929611,783316.505934135
Recorder,783316.470116,0.004735891707241535,1787643586294.6846,783316.537935954,783316.53794069
Recorder,783316.503626,0.0040389131754636765,1787643586297.1487,783316.573910917,783316.573914956
Recorder,783316.537137,0.005058944225311279,1787643586295.9321,783316.606204218,783316.606209277
Recorder,783316.570647,0.00412005465477705,1787643586298.1096,783316.641892475,783316.641896595
Recorder,783316.604157,0.004634959623217583,1787643586296.7495,783316.674041979,783316.674046614
Recorder,783316.637668,0.004048924893140793,1787643586295.1406,783316.70594239,783316.705946439
Recorder,783316.671178,0.003961031325161457,1787643586297.6274,783316.741941782,783316.741945743
Recorder,783316.704689,0.004109926521778107,1787643586296.334,783316.774158978,783316.774163088
Recorder,783316.738199,0.0046710483729839325,1787643586294.6128,783316.805947316,783316.805951987
Recorder,783316.771709,0.004369067028164864,1787643586297.2832,783316.842128019,783316.842132388
Recorder,783316.80522,0.0014730030670762062,1787643586295.2017,783316.873560711,783316.873562184
Recorder,783316.83873,0.004764995537698269,1787643586298.2034,783316.910068864,783316.910073629
Recorder,783316.872241,0.00439502764493227,1787643586296.9153,783316.94229218,783316.942296575
Recorder,783316.905751,0.004140078090131283,1787643586295.1433,783316.974030386,783316.974034526
Recorder,783316.939261,0.005516922101378441,1787643586297.779,783317.010174014,783317.010179531
Recorder,783316.972772,0.08304696530103683,1787643586296.1423,783317.041970829,783317.042053876
Recorder,783317.006282,0.00498106237500906,1787643586294.819,783317.074235771,783317.074240752
Recorder,783317.039793,0.005208072252571583,1787643586297.2673,783317.110195261,783317.110200469
Recorder,783317.073303,0.004347995854914188,1787643586295.5159,783317.141954626,783317.141958974
Recorder,783317.106813,0.0039299484342336655,1787643586298.0095,783317.177958618,783317.177962548
Recorder,783317.140324,0.005017034709453583,1787643586296.9158,783317.210374865,783317.210379882
Recorder,783317.173834,0.003998051397502422,1787643586295.0105,783317.241980681,783317.241984679
Recorder,783317.207345,0.004278961569070816,1787643586297.805,783317.278285856,783317.278290135
Recorder,783317.240855,0.004541943781077862,1787643586295.9968,783317.309987699,783317.309992241
Recorder,783317.274365,0.0042639439925551414,1787643586294.4795,783317.341980446,783317.34198471
Recorder,783317.307876,0.004649045877158642,1787643586296.9717,783317.377983287,783317.377987936
Recorder,783317.341386,0.004427041858434677,1787643586295.5144,783317.410035871,783317.410040298
Recorder,783317.374897,0.003947061486542225,1787643586298.2063,783317.446239629,783317.446243576
Recorder,783317.408407,0.0038440339267253876,1787643586296.528,783317.478071328,783317.478075172
Recorder,783317.441917,0.004347995854914188,1787643586294.9658,783317.510018451,783317.510022799
Recorder,783317.475428,0.004173023626208305,1787643586297.6052,783317.546169422,783317.546173595
Recorder,783317.508938,0.005409936420619488,1787643586296.2708,783317.578343122,783317.578348532
Recorder,783317.542449,0.004385947249829769,1787643586298.7886,783317.614373172,783317.614377558
Recorder,783317.575959,0.026153982616961002,1787643586296.9194,783317.645992105,783317.646018259
Recorder,783317.609469,0.0043869949877262115,1787643586295.3674,783317.677972094,783317.677976481
Recorder,783317.64298,0.004219007678329945,1787643586297.8682,783317.71398421,783317.713988429
Recorder,783317.67649,0.0038780272006988525,1787643586296.4045,783317.746031174,783317.746035052
Recorder,783317.710001,0.005584908649325371,1787643586295.4863,783317.778621303,783317.778626888
Recorder,783317.743511,0.0053299590945243835,1787643586297.5808,783317.814226457,783317.814231787
